Sales_ID,Client_Type,Contact_Role,Activity_Type,Activity_Log,Customer_Feedback,Action_Point
S01,운용사,펀드매니저,식사미팅,반도체 HBM3E 양산 수율 및 엔비디아 향 공급망 내 국내 기업 밸류에이션 리레이팅 가능성 논의. 하반기 실적 가시성 체크.,장중에는 매매 집중을 위해 절대 연락 불가하며 오로지 점심 식사를 통한 심도 있는 시장 뷰 공유를 선호함. 매우 논리적이고 숫자 위주의 대화를 중시함.,"차주 월요일 개장 전, HBM 관련 서플라이체인 엑셀 맵 및 경쟁사 비교 차트 송부 예정."
S02,연기금,Buy-side 애널리스트,세미나,조선업계 카타르 2차 LNG 운반선 수주 모멘텀 및 선가 상승 지속 가능성 스터디. 당사 섹터 애널리스트 동행 세미나 진행.,리서치 리포트의 결론보다는 로우 데이터(Raw Data)와 모델링의 가정을 직접 검증하길 원하는 깐깐한 스타일. 깊이 있는 리퀘스트가 잦음.,조선 섹터 Q&A 정리본 및 글로벌 선가 인덱스 주간 업데이트 메일 리스트 등록.
S03,보험사,트레이더,채팅,실시간 시장 Spot 업데이트: 금융주 밸류업 프로그램 관련 외인 수급 집중 종목 및 장중 체결 강도 공유.,전화보다는 텔레그램 메신저를 통한 실시간 텍스트 보고를 극도로 선호함. 장 마감 후 체결 퀄리티(Execution Quality)에 대해 민감하게 피드백함.,익일 장전 미국 금융주 마감 동향 및 국내 은행주 시초가 매수 강도 모니터링 후 메신저 보고.
S04,운용사,펀드매니저,대면미팅,K-방산 폴란드 수출 2차 실행계약 지연 리스크 및 중동발 신규 수주 파이프라인 업데이트.,조식 미팅(Breakfast Meeting)을 선호하며 오전 8시 이전 모든 핵심 브리핑이 끝나는 것을 좋아함. 의사결정이 매우 빠르고 명확함.,방산 담당 애널리스트와의 1:1 컨콜 세팅 및 유럽 현지 브로커 코멘트 취합 후 전달.
S05,연기금,펀드매니저,콜,미용기기 섹터의 북미 점유율 확대 전략 및 소모품 매출 비중 상승에 따른 OPM 개선 전망 브리핑.,운전 중인 오전 8시 전후 혹은 장 마감 후 콜 선호. 장중에는 신규 종목 제안에 대해 매우 보수적이나 확실한 턴어라운드 종목에는 관심이 높음.,해당 미용기기 업체의 본사 IR 담당자 미팅(NDR) 일정 조율 및 확정.
S06,운용사,Buy-side 애널리스트,시장 업데이트,Shared English Report: Analysis on the impact of semiconductor export controls on domestic foundry supply chains.,Prefers English materials for global reporting. Very analytical and requests high-frequency data updates rather than qualitative views.,Send weekly English summary of domestic tech sector flows and supply chain news.
S07,보험사,펀드매니저,식사미팅,저PBR 금융주(은행/지주)의 주주환원율 제고와 자사주 소각 시나리오별 배당수익률 시뮬레이션 논의.,캐주얼한 분위기의 식사보다는 조용한 룸에서의 대면 미팅을 선호함. 시장 소문(Rumor)보다는 공시와 팩트에 기반한 안정적 종목 선호.,당사 퀀트팀의 밸류업 수혜주 스크리닝 리포트와 상속세 개정 관련 세무 분석 자료 송부.
S08,운용사,트레이더,대면미팅,Execution Quality Feedback: Discussion on minimizing market impact for large-block orders in ship-building stocks.,Extremely sensitive to bid-ask spreads. Prefers meeting in person once a month to review trading performance and algorithm efficiency.,Update the customized algorithm trading strategy for the client's next portfolio rebalancing.
S09,연기금,펀드매니저,세미나,AI 데이터센터 전력 인프라 확충에 따른 전선 및 변압기 섹터 사이클 지속 가능성 점검.,학구적인 분위기를 즐기며 여러 운용사가 모이는 세미나보다는 단독 미팅을 통한 Q&A 시간을 더 가치 있게 여김.,전력 기기 업체별 수주 잔고 추이 및 변압기 수출 데이터(관세청) 가공 자료 정기 발송.
S10,운용사,펀드매니저,콜,Update on Medical Aesthetics: Recent clinical trial results and FDA approval timelines for Botox rivals.,Short and concise phone calls preferred (under 5 mins). Does not like fluff or marketing talk. Value-driven and price-sensitive.,Follow up with the analyst's target price justification model and sensitivity analysis.
S01,보험사,Buy-side 애널리스트,세미나,조선 섹터 엔진/기자재 업체들의 친환경 선박 개조(Retrofit) 수요 분석 자료 공유.,데이터 중심의 심도 있는 스터디를 선호하며 미팅 전 관련 자료를 미리 읽어보고 질문 리스트를 준비해오는 스타일임.,엔진 전문 기업 탐방 일정 예약 및 하반기 수주 잔고 분석 엑셀 파일 공유.
S02,연기금,트레이더,채팅,방산 섹터 장중 외인 대량 매도세 포착 및 블록딜 수요 예측 관련 Spot 메세지 전송.,장중 연락 금지 원칙을 고수하나 긴급한 시장 수급 변동 사항은 메신저로만 확인 가능함. 불필요한 안부 인사를 기피함.,장 마감 직후 당일 수급 주체별 순매수 상위 종목 분석표(PDF) 전송.
S03,운용사,펀드매니저,대면미팅,금융지주사 CEO 교체에 따른 지배구조 변화 및 향후 배당 정책 유지 가능성 밀착 취재 내용 전달.,고위급 인맥을 통한 인사이트(High-level Insight)를 선호하며 신뢰 관계가 형성된 세일즈와만 정보를 공유하는 경향이 있음.,주요 금융지주 IR 책임자와의 점심 미팅 주선 및 컨퍼런스 오퍼.
S04,연기금,Buy-side 애널리스트,컨콜,Semiconductor Sector: Deep dive into the gate-all-around (GAA) technology transition and its winners.,Highly technical background. Requests direct calls with equity research analysts to discuss technical moats and patent disputes.,Coordinate a technical expert call regarding next-gen lithography processes.
S05,보험사,펀드매니저,시장 업데이트,K-뷰티 인디 브랜드의 일본/동남아 수출 호조에 따른 화장품 OEM/ODM 종목 이익 추정치 상향 조정.,트렌드에 민감하며 올리브영 등 현장 채널의 데이터 확인을 자주 요청함. 주말 미팅이나 연락은 철저히 배제하는 워라밸 중시형.,화장품 섹터 탐방 보고서 및 월간 수출입 통계 가공 시트 송부.
